Altium Designer Pick and Place Locations
C:\Users\asli\Desktop\Hardware Design\Projects\InProgress\SECURITY_CAM\Project Files\Project Outputs for SECURITY_CAM\Pick Place\Pick Place for SECURITY_CAM.txt

========================================================================================================================
File Design Information:

Date:       02.10.24
Time:       17:29
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment             Layer       Footprint         Center-X(mm) Center-Y(mm) Rotation Description                                                                                         
C10        CL21B105KBFNNNE     TopLayer    CAP_0805          34.2900      34.5440      0        "CAP CER 1uF %10 0805"                                                                              
C9         CL21A475KAQNNNE     TopLayer    CAP_0805          34.2900      32.7440      0        "CAP CER 4.7uF %10 0805"                                                                            
R37        RC0603JR-07100RL    TopLayer    RES_0603          83.2231      18.5118      180      "RES 100 %5 OHM 0603 SMD"                                                                           
L1         78438335470         TopLayer    IND_1212          23.3728      33.1518      0        "FIXED IND 47UH 390MA 2.3 OHM SMD"                                                                  
R36        RC0603FR-0710KL     BottomLayer RES_0603          85.5500      5.9749       180      "RES 10K %1 OHM 0603 SMD"                                                                           
R34        RC0603FR-0710KL     BottomLayer RES_0603          82.7522      3.8476       90       "RES 1K %1 OHM 0603 SMD"                                                                            
R24        RC0603FR-0710KL     BottomLayer RES_0603          88.9523      21.2500      270      "RES 10K %1 OHM 0603 SMD"                                                                           
C38        CL21B105KBFNNNE     BottomLayer CAP_0805          79.3273      11.2000      90       "CAP CER 1uF %10 0805"                                                                              
C33        0603B103K160CT      BottomLayer CAP_0603          86.4916      21.2478      90       "CAP CER 10nF %10 0603"                                                                             
U9         OPA314AIDBVR        BottomLayer SOT23-5           86.0000      3.8477       0        "Op Amp OPA314"                                                                                     
U8         NCS36000DRG         BottomLayer SOIC14            82.4500      18.0000      180      "PIR Controller Low Noise Amplifiers and LDO Regulator 14-Pin SOIC N T/R"                           
S1         "LHI 878/3902"      TopLayer    LHI_878           85.0000      26.3750      0        "SENSOR PYRO DETECTOR DUAL MOTION"                                                                  
RT1        TFPT1206L1002FM     BottomLayer RES_1206          86.0845      7.6022       0        "Thermistor PTC 10K Ohm 1% 1206"                                                                    
R35        RC0603JR-07220KL    BottomLayer RES_0603          82.7773      6.8749       90       "RES 220K %5 OHM 0603 SMD"                                                                          
R33        RC0603FR-0710KL     TopLayer    RES_0603          82.6008      15.9512      270      "RES 1K %1 OHM 0603 SMD"                                                                            
R32        RC0603JR-07220KL    BottomLayer RES_0603          81.5023      6.8749       90       "RES 220K %5 OHM 0603 SMD"                                                                          
R31        RC0603JR-0743KL     BottomLayer RES_0603          87.7250      15.1933      90       "RES 43K %5 OHM 0603 SMD"                                                                           
R30        RC0603FR-0710KL     BottomLayer RES_0603          89.8999      13.0660      0        "RES 10K %1 OHM 0603 SMD"                                                                           
R29        RC0603JR-070RL      BottomLayer RES_0603          77.5228      17.0180      0        "RES 0 %1 OHM 0603 SMD"                                                                             
R28        RC0603JR-070RL      BottomLayer RES_0603          77.5227      19.3979      0        "RES 0 %1 OHM 0603 SMD"                                                                             
R27        RC0603JR-07560KL    BottomLayer RES_0603          88.9523      18.2205      90       "RES SMD 560K OHM 5% 1/10W 0603"                                                                    
